한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
씨케이에이치                            ,455,346,2,5,1.47,1,105,30,1,133.24,351273,1,53209,47142,346,345,607,1,20190329
코너스톤네트웍스                        ,711,1075,5,5,-0.46,1,164,29.98,3,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190330
팬스타엔터프라이즈                      ,1130,1050,2,5,0.48,1,257,29.44,1,85.45,546521,1,123419,201428,1050,1045,10471,1043,20190330
코너스톤네트웍스                        ,711,1075,5,5,-0.46,1,164,29.98,3,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190331
팬스타엔터프라이즈                      ,1130,1050,2,5,0.48,1,257,29.44,1,85.45,546521,1,123419,201428,1050,1045,10471,1043,20190331
코너스톤네트웍스                        ,711,1075,5,5,-0.46,1,164,29.98,3,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190401
팬스타엔터프라이즈                      ,1130,1050,2,5,0.48,1,257,29.44,1,85.45,546521,1,123419,201428,1050,1045,10471,1043,20190401
코너스톤네트웍스                        ,924,1075,5,5,-0.46,1,213,29.96,4,293.41,1864280,1,184571,113451,1075,1070,75155,500,20190402
디젠스                                  ,822,525,5,2,-0.38,1,189,29.86,1,96.16,142353,1,33766,4724,527,525,1989,12,20190402
데일리블록체인                          ,1735,541,2,3,0.56,1,400,29.96,1,199.86,334394,1,83373,30928,541,540,10971,150,20190402
THE MIDONG                              ,4015,2210,5,30,-1.34,1,925,29.94,1,96.49,64853,1,5601,19242,2210,2200,1733,2930,20190403
테라셈                                  ,1205,2945,5,45,-1.51,1,275,29.57,1,105.85,270769,1,12752,3505,2945,2935,251,500,20190403
제너셈                                  ,2665,2810,5,35,-1.23,1,615,30,1,210.55,32519,1,9139,3738,2830,2810,40,18,20190403
칩스앤미디어                            ,10250,9610,5,20,-0.21,1,2340,29.58,1,95.89,55781,1,5415,2655,9610,9600,36,110,20190404
